funddwid,projectid,fundname,type,amount
54568,66565,City Capital,Loan,4138616
65715,66601,City Capital,Loan,8710000
59374,66644,City Capital,Loan,13646798
54821,66645,City Capital,Loan,9771032
67789,66645,Reso A,Loan,1500000
54876,66648,City Capital,Loan,75231232
54878,66651,City Capital,Loan,11275000
57768,66651,Reso A,Loan,500000
57770,66651,HOME,Loan,2000000
54875,66653,City Capital,Grant,7295197
54979,66669,City Capital,Loan,2420968
57357,66670,City Capital,Grant,21609566
57612,66670,Reso A,Grant,1490000
59649,66670,City Capital,Loan,1000000
55257,66720,City Capital,Loan,56034276
63137,66740,City Capital,Loan,22416405
62651,66751,City Capital,Loan,15561000
62652,66751,Reso A,Loan,1500000
56644,66769,City Capital,Loan,2250000
56654,66769,City Capital,Loan,18056000
59913,66789,City Capital,Loan,6093885
61133,66807,City Capital,Loan,2056727
58925,66858,City Capital,Loan,31065000
58926,66858,Reso A,Loan,2000000
62419,66879,City Capital,Loan,29810030
59533,66903,City Capital,Loan,19427246
63231,66903,Reso A,Loan,2000000
66664,66904,City Capital,Loan,24356794
66667,66904,Reso A,Loan,1000000
63607,66909,Reso A,Grant,1000000
63608,66909,City Capital,Grant,11474462
65576,66928,City Capital,Loan,6588491
57518,66929,City Capital,Loan,498000
71085,66933,HOME,Loan,12800000
70074,66933,City Capital,Loan,4700000
57453,66940,City Capital,Loan,2183725
71552,66956,HTF NYC,Not Applicable,3679536
71559,66956,City Capital,Loan,9789132
60338,66970,City Capital,Loan,133630000
60339,66970,Reso A,Loan,778000
57923,66982,Purchase Money Mortgage,Loan,16534467
57927,66982,City Capital,Loan,11120846
57714,67005,City Capital,Loan,8250000
6489,67079,NSP 1,Loan,0
6480,67079,City Capital,Loan,0
6495,67079,BPCA,Loan,0
6498,67079,NSP 2,Loan,0
6492,67079,NSP 3,Loan,0
6483,67079,Reso A,Loan,0
6477,67079,HOME,Loan,0
63325,67125,HOME,Loan,6584809
63330,67125,Reso A,Loan,2000000
57476,67129,City Capital,Loan,6031498
57478,67130,City Capital,Loan,25950000
58359,67154,City Capital,Loan,4640063
67515,67200,City Capital,Loan,10894760
67516,67200,Reso A,Loan,1000000
60909,67286,City Capital,Loan,48809744
57525,67287,City Capital,Loan,9907772
62323,67357,City Capital,Loan,19041994
61013,67367,City Capital,Loan,32069282
59960,67438,City Capital,Loan,1000000
60104,67438,City Capital,Grant,3183357
61549,67442,City Capital,Loan,14911839.83
57480,67443,City Capital,Loan,1253337
59740,67458,City Capital,Loan,818429
57488,67459,City Capital,Loan,1057268
